DateTime,Station,lat,long,Pollutant,Concentration,AQI
2017-05-01 02:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,C8H10,0.14,1
2017-05-01 02:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,C7H8,0.72,1
2017-05-01 02:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,NO2,14,2
2017-05-01 02:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,PM25,13.5,2
2017-05-01 02:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,PM10,13.9,2
2017-05-01 02:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,FN,0.63,1
2017-05-01 02:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,C6H6,0.43,1
2017-05-01 02:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,NO,0.3,1
2017-05-01 03:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,NO2,8.3,1
2017-05-01 03:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,PM25,11.3,2
2017-05-01 03:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,PM10,16.8,2
2017-05-01 03:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,FN,0.58,1
2017-05-01 03:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,NO,0.2,1
2017-05-01 04:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,NO2,7.2,1
2017-05-01 04:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,PM25,12.1,2
2017-05-01 04:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,PM10,13.7,2
2017-05-01 04:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,FN,0.6,1
2017-05-01 04:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,NO,0.2,1
2017-05-01 05:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,PM25,11.7,2
2017-05-01 05:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,NO2,7.2,1
2017-05-01 05:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,PM10,13.3,2
2017-05-01 05:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,FN,0.65,1
2017-05-01 05:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,NO,0.1,1
2017-05-01 06:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,PM25,10.6,2
2017-05-01 06:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,NO2,8.2,1
2017-05-01 06:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,PM10,13.1,2
2017-05-01 06:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,FN,0.73,1
2017-05-01 06:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,NO,0.2,1
2017-05-01 07:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,C8H10,0.33,1
2017-05-01 07:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,C7H8,0.52,1
2017-05-01 07:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,NO2,18.1,2
2017-05-01 07:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,PM25,9.2,1
2017-05-01 07:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,PM10,12.9,2
2017-05-01 07:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,FN,0.92,1
2017-05-01 07:00:00+02:00,Amsterdam-Stadhouderskade,52.358080,4.899696,C6H6,0.59,1
