Date,Day,Hour,Station,lat,long,Pollutant,Concentration,AQI
2017-05-01,Mon,10,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,97.9,4
2017-05-01,Mon,10,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,80.4,7
2017-05-01,Mon,11,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,74,4
2017-05-01,Mon,11,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,71.5,6
2017-05-01,Mon,12,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,63.1,4
2017-05-01,Mon,12,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,64.9,6
2017-05-01,Mon,13,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,49.9,3
2017-05-01,Mon,13,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,60,6
2017-05-01,Mon,14,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,57.8,4
2017-05-01,Mon,14,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,60.6,6
2017-05-01,Mon,15,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,69.2,4
2017-05-01,Mon,15,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,68.6,6
2017-05-01,Mon,16,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,48,3
2017-05-01,Mon,16,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,71.1,6
2017-05-01,Mon,17,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,46.1,3
2017-05-01,Mon,17,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,65.4,6
2017-05-01,Mon,18,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,71,4
2017-05-01,Mon,18,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,78.4,7
2017-05-01,Mon,19,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,74.7,4
2017-05-01,Mon,19,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,76.3,7
2017-05-01,Mon,20,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,70.4,6
2017-05-01,Mon,20,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,50.7,4
2017-05-01,Mon,21,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,72.4,6
2017-05-01,Mon,21,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,49.2,3
2017-05-01,Mon,22,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,57.8,5
2017-05-01,Mon,22,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,26.9,3
2017-05-01,Mon,23,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO,24.3,2
2017-05-01,Mon,23,Amsterdam-Haarlemmerweg,52.385449,4.875582,NO2,59.9,5
