Date,Day,Hour,Station,lat,long,Pollutant,Concentration,AQI
  2017-04-30,Sun,11,Amsterdam-Vondelpark,52.359864,4.866185,NO,2.4,1
  2017-04-30,Sun,11,Amsterdam-Vondelpark,52.359864,4.866185,CO,160.7,1
  2017-04-30,Sun,12,Amsterdam-Vondelpark,52.359864,4.866185,NO2,12.4,2
  2017-04-30,Sun,12,Amsterdam-Vondelpark,52.359864,4.866185,PM25,11.6,2
  2017-04-30,Sun,12,Amsterdam-Vondelpark,52.359864,4.866185,PM10,14.6,2
  2017-04-30,Sun,12,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.44,1
  2017-04-30,Sun,12,Amsterdam-Vondelpark,52.359864,4.866185,O3,79.8,5
  2017-04-30,Sun,12,Amsterdam-Vondelpark,52.359864,4.866185,NO,2.3,1
  2017-04-30,Sun,12,Amsterdam-Vondelpark,52.359864,4.866185,CO,158.6,1
  2017-04-30,Sun,13,Amsterdam-Vondelpark,52.359864,4.866185,NO2,9.9,1
  2017-04-30,Sun,13,Amsterdam-Vondelpark,52.359864,4.866185,PM25,10.7,2
  2017-04-30,Sun,13,Amsterdam-Vondelpark,52.359864,4.866185,PM10,13.6,2
  2017-04-30,Sun,13,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.42,1
  2017-04-30,Sun,13,Amsterdam-Vondelpark,52.359864,4.866185,O3,88.9,6
  2017-04-30,Sun,13,Amsterdam-Vondelpark,52.359864,4.866185,NO,1.6,1
  2017-04-30,Sun,13,Amsterdam-Vondelpark,52.359864,4.866185,CO,123.2,1
  2017-04-30,Sun,14,Amsterdam-Vondelpark,52.359864,4.866185,NO2,9.4,1
  2017-04-30,Sun,14,Amsterdam-Vondelpark,52.359864,4.866185,PM25,6.8,1
  2017-04-30,Sun,14,Amsterdam-Vondelpark,52.359864,4.866185,PM10,12.7,2
  2017-04-30,Sun,14,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.43,1
  2017-04-30,Sun,14,Amsterdam-Vondelpark,52.359864,4.866185,O3,92.9,6
  2017-04-30,Sun,14,Amsterdam-Vondelpark,52.359864,4.866185,NO,1.2,1
  2017-04-30,Sun,14,Amsterdam-Vondelpark,52.359864,4.866185,CO,118,1
  2017-04-30,Sun,15,Amsterdam-Vondelpark,52.359864,4.866185,NO2,9.7,1
  2017-04-30,Sun,15,Amsterdam-Vondelpark,52.359864,4.866185,PM25,6.4,1
  2017-04-30,Sun,15,Amsterdam-Vondelpark,52.359864,4.866185,PM10,12.3,2
  2017-04-30,Sun,15,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.46,1
  2017-04-30,Sun,15,Amsterdam-Vondelpark,52.359864,4.866185,O3,97,6
  2017-04-30,Sun,15,Amsterdam-Vondelpark,52.359864,4.866185,NO,1,1
  2017-04-30,Sun,15,Amsterdam-Vondelpark,52.359864,4.866185,CO,104.6,1
  2017-04-30,Sun,16,Amsterdam-Vondelpark,52.359864,4.866185,NO2,6.7,1
  2017-04-30,Sun,16,Amsterdam-Vondelpark,52.359864,4.866185,PM25,5.2,1
  2017-04-30,Sun,16,Amsterdam-Vondelpark,52.359864,4.866185,PM10,18.2,2
  2017-04-30,Sun,16,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.42,1
  2017-04-30,Sun,16,Amsterdam-Vondelpark,52.359864,4.866185,O3,108.4,7
  2017-04-30,Sun,16,Amsterdam-Vondelpark,52.359864,4.866185,NO,0.3,1
  2017-04-30,Sun,16,Amsterdam-Vondelpark,52.359864,4.866185,CO,66,1
  2017-04-30,Sun,17,Amsterdam-Vondelpark,52.359864,4.866185,NO2,7.5,1
  2017-04-30,Sun,17,Amsterdam-Vondelpark,52.359864,4.866185,PM25,4.8,1
  2017-04-30,Sun,17,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.47,1
  2017-04-30,Sun,17,Amsterdam-Vondelpark,52.359864,4.866185,NO,0.5,1
  2017-04-30,Sun,17,Amsterdam-Vondelpark,52.359864,4.866185,CO,106.6,1
  2017-04-30,Sun,17,Amsterdam-Vondelpark,52.359864,4.866185,PM10,14.9,2
  2017-04-30,Sun,17,Amsterdam-Vondelpark,52.359864,4.866185,O3,110.2,7
  2017-04-30,Sun,18,Amsterdam-Vondelpark,52.359864,4.866185,NO2,8.3,1
  2017-04-30,Sun,18,Amsterdam-Vondelpark,52.359864,4.866185,PM25,5.3,1
  2017-04-30,Sun,18,Amsterdam-Vondelpark,52.359864,4.866185,FN,0.46,1
  2017-04-30,Sun,18,Amsterdam-Vondelpark,52.359864,4.866185,O3,112,7
  2017-04-30,Sun,18,Amsterdam-Vondelpark,52.359864,4.866185,NO,0.5,1
  2017-04-30,Sun,18,Amsterdam-Vondelpark,52.359864,4.866185,CO,114.8,1
  2017-04-30,Sun,18,Amsterdam-Vondelpark,52.359864,4.866185,PM10,14.6,2
  2017-04-30,Sun,19,Amsterdam-Vondelpark,52.359864,4.866185,NO2,9.5,1
  2017-04-30,Sun,19,Amsterdam-Vondelpark,52.359864,4.866185,PM25,5,1
  2017-04-30,Sun,19,Amsterdam-Vondelpark,52.359864,4.866185,PM10,11.7,2
