Date,Day,Hour,Station,lat,long,Pollutant,Concentration,AQI
2017-04-30,Sun,22,Amsterdam-Westerpark,52.394126,4.870355,PM10,12.4,2
2017-04-30,Sun,23,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.5,1
2017-04-30,Sun,23,Amsterdam-Westerpark,52.394126,4.870355,PM25,14.5,2
2017-04-30,Sun,23,Amsterdam-Westerpark,52.394126,4.870355,PM10,19.6,2
2017-05-01,Mon,0,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.5,1
2017-05-01,Mon,0,Amsterdam-Westerpark,52.394126,4.870355,PM25,16.9,3
2017-05-01,Mon,0,Amsterdam-Westerpark,52.394126,4.870355,PM10,15.2,2
2017-05-01,Mon,1,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.7,1
2017-05-01,Mon,1,Amsterdam-Westerpark,52.394126,4.870355,PM25,21.6,4
2017-05-01,Mon,1,Amsterdam-Westerpark,52.394126,4.870355,PM10,15.6,2
2017-05-01,Mon,2,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.9,1
2017-05-01,Mon,2,Amsterdam-Westerpark,52.394126,4.870355,PM25,13.6,2
2017-05-01,Mon,2,Amsterdam-Westerpark,52.394126,4.870355,PM10,22.5,3
2017-05-01,Mon,3,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.8,1
2017-05-01,Mon,3,Amsterdam-Westerpark,52.394126,4.870355,PM25,16.3,3
2017-05-01,Mon,3,Amsterdam-Westerpark,52.394126,4.870355,PM10,25,3
2017-05-01,Mon,4,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.6,1
2017-05-01,Mon,4,Amsterdam-Westerpark,52.394126,4.870355,PM25,16.2,3
2017-05-01,Mon,4,Amsterdam-Westerpark,52.394126,4.870355,PM10,23.8,3
2017-05-01,Mon,5,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.8,1
2017-05-01,Mon,5,Amsterdam-Westerpark,52.394126,4.870355,PM25,15.8,3
2017-05-01,Mon,5,Amsterdam-Westerpark,52.394126,4.870355,PM10,19.5,2
2017-05-01,Mon,6,Amsterdam-Westerpark,52.394126,4.870355,SO2,1.1,1
2017-05-01,Mon,6,Amsterdam-Westerpark,52.394126,4.870355,PM25,17,3
2017-05-01,Mon,6,Amsterdam-Westerpark,52.394126,4.870355,PM10,22.5,3
2017-05-01,Mon,7,Amsterdam-Westerpark,52.394126,4.870355,SO2,1.2,1
2017-05-01,Mon,7,Amsterdam-Westerpark,52.394126,4.870355,PM25,16.9,3
2017-05-01,Mon,7,Amsterdam-Westerpark,52.394126,4.870355,PM10,24.9,3
2017-05-01,Mon,8,Amsterdam-Westerpark,52.394126,4.870355,SO2,1.3,1
2017-05-01,Mon,8,Amsterdam-Westerpark,52.394126,4.870355,PM25,17.9,3
2017-05-01,Mon,8,Amsterdam-Westerpark,52.394126,4.870355,PM10,21.9,3
2017-05-01,Mon,9,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.6,1
2017-05-01,Mon,9,Amsterdam-Westerpark,52.394126,4.870355,PM25,11,2
2017-05-01,Mon,9,Amsterdam-Westerpark,52.394126,4.870355,PM10,13.7,2
2017-05-01,Mon,10,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.5,1
2017-05-01,Mon,10,Amsterdam-Westerpark,52.394126,4.870355,PM25,11,2
2017-05-01,Mon,10,Amsterdam-Westerpark,52.394126,4.870355,PM10,13.9,2
2017-05-01,Mon,11,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.4,1
2017-05-01,Mon,11,Amsterdam-Westerpark,52.394126,4.870355,PM25,9.6,1
2017-05-01,Mon,11,Amsterdam-Westerpark,52.394126,4.870355,PM10,6,1
2017-05-01,Mon,12,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.5,1
2017-05-01,Mon,12,Amsterdam-Westerpark,52.394126,4.870355,PM25,8.1,1
2017-05-01,Mon,12,Amsterdam-Westerpark,52.394126,4.870355,PM10,9.5,1
2017-05-01,Mon,13,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.5,1
2017-05-01,Mon,13,Amsterdam-Westerpark,52.394126,4.870355,PM25,8.8,1
2017-05-01,Mon,13,Amsterdam-Westerpark,52.394126,4.870355,PM10,14.1,2
2017-05-01,Mon,14,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.4,1
2017-05-01,Mon,14,Amsterdam-Westerpark,52.394126,4.870355,PM25,11,2
2017-05-01,Mon,14,Amsterdam-Westerpark,52.394126,4.870355,PM10,14.3,2
2017-05-01,Mon,15,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.4,1
2017-05-01,Mon,15,Amsterdam-Westerpark,52.394126,4.870355,PM25,11,2
2017-05-01,Mon,15,Amsterdam-Westerpark,52.394126,4.870355,PM10,14.6,2
2017-05-01,Mon,16,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.3,1
2017-05-01,Mon,16,Amsterdam-Westerpark,52.394126,4.870355,PM25,14.6,2
2017-05-01,Mon,16,Amsterdam-Westerpark,52.394126,4.870355,PM10,17.4,2
2017-05-01,Mon,17,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.7,1
2017-05-01,Mon,17,Amsterdam-Westerpark,52.394126,4.870355,PM25,8.1,1
2017-05-01,Mon,17,Amsterdam-Westerpark,52.394126,4.870355,PM10,15,2
2017-05-01,Mon,18,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.4,1
2017-05-01,Mon,18,Amsterdam-Westerpark,52.394126,4.870355,PM25,10.4,2
2017-05-01,Mon,18,Amsterdam-Westerpark,52.394126,4.870355,PM10,18.5,2
2017-05-01,Mon,19,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.5,1
2017-05-01,Mon,19,Amsterdam-Westerpark,52.394126,4.870355,PM25,10.6,2
2017-05-01,Mon,19,Amsterdam-Westerpark,52.394126,4.870355,PM10,12,2
2017-05-01,Mon,20,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.5,1
2017-05-01,Mon,20,Amsterdam-Westerpark,52.394126,4.870355,PM25,9.4,1
2017-05-01,Mon,20,Amsterdam-Westerpark,52.394126,4.870355,PM10,12.6,2
2017-05-01,Mon,21,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.5,1
2017-05-01,Mon,21,Amsterdam-Westerpark,52.394126,4.870355,PM25,9.3,1
2017-05-01,Mon,21,Amsterdam-Westerpark,52.394126,4.870355,PM10,12.9,2
2017-05-01,Mon,22,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.2,1
2017-05-01,Mon,22,Amsterdam-Westerpark,52.394126,4.870355,PM25,15,3
2017-05-01,Mon,22,Amsterdam-Westerpark,52.394126,4.870355,PM10,22.7,3
2017-05-01,Mon,23,Amsterdam-Westerpark,52.394126,4.870355,SO2,0.2,1
2017-05-01,Mon,23,Amsterdam-Westerpark,52.394126,4.870355,PM25,10,2
2017-05-01,Mon,23,Amsterdam-Westerpark,52.394126,4.870355,PM10,17.6,2
